Site,Model / ablation,RMSE 0-2h,RMSE 2-5h,RMSE 5h+,CRPS 0-2h,CRPS 2-5h,CRPS 5h+,PIT-KS 5h+,cov90 5h+,sharp 5h+,n
Redmere 2,Neural SDE (ALD),1.87 ± 0.04,2.00 ± 0.15,2.29 ± 0.58,0.899 ± 0.035,1.148 ± 0.073,1.443 ± 0.159,0.225 ± 0.036,0.965 ± 0.039,12.69 ± 2.72,5
Redmere 2,Mean-variance (Gaussian),1.83 ± 0.02,1.78 ± 0.03,1.73 ± 0.09,0.943 ± 0.038,1.144 ± 0.064,1.209 ± 0.076,0.291 ± 0.024,0.999 ± 0.001,13.22 ± 0.98,5
Redmere 2,Mean-variance (Student-t),1.84 ± 0.01,1.80 ± 0.06,1.69 ± 0.13,0.884 ± 0.026,1.047 ± 0.087,1.103 ± 0.150,0.235 ± 0.022,0.995 ± 0.005,11.73 ± 3.18,5
Redmere 2,Mean-variance (ALD),1.83 ± 0.01,1.77 ± 0.03,1.67 ± 0.05,0.861 ± 0.020,0.989 ± 0.060,1.104 ± 0.087,0.281 ± 0.021,0.991 ± 0.007,10.89 ± 1.50,5
Redmere 2,Analytical SDE (Gaussian),1.82,1.75,1.71,0.989,1.295,1.717,0.306,0.994,20.52,1
Redmere 2,Analytical SDE (Student-t),1.82,1.75,1.71,0.861,0.880,0.886,0.180,0.947,6.62,1
Redmere 2,MDN (mixture),1.84 ± 0.01,1.79 ± 0.04,1.79 ± 0.11,0.857 ± 0.006,0.983 ± 0.031,1.110 ± 0.060,0.281 ± 0.010,0.992 ± 0.004,11.63 ± 0.81,5
Redmere 2,Random Forest,1.68 ± 0.06,1.63 ± 0.11,1.38 ± 0.13,—,—,—,—,—,—,5
Redmere 2,XGBoost,1.70 ± 0.04,1.69 ± 0.09,1.63 ± 0.17,—,—,—,—,—,—,5
Great Fen,"WienerNet-SS (ALD, primary)",1.70 ± 0.02,1.86 ± 0.05,1.89 ± 0.16,0.941 ± 0.021,1.185 ± 0.079,1.427 ± 0.144,0.267 ± 0.022,0.980 ± 0.015,13.57 ± 2.48,5
Great Fen,WienerNet-SS (Gaussian),1.87 ± 0.22,2.41 ± 0.75,3.19 ± 1.52,1.119 ± 0.109,1.651 ± 0.299,2.284 ± 0.602,0.287 ± 0.089,0.981 ± 0.034,22.60 ± 4.21,5
Great Fen,WienerNet-SS (beta-NLL),1.80 ± 0.08,2.27 ± 0.28,3.21 ± 0.87,1.011 ± 0.046,1.420 ± 0.152,1.997 ± 0.400,0.314 ± 0.083,0.978 ± 0.026,17.56 ± 2.18,5
Great Fen,WienerNet-SS (Student-t),1.74 ± 0.04,2.12 ± 0.22,2.64 ± 0.55,0.984 ± 0.057,1.332 ± 0.196,1.774 ± 0.393,0.279 ± 0.072,0.986 ± 0.006,17.49 ± 5.90,5
Great Fen,WienerNet-SS (mixture),1.74 ± 0.11,2.05 ± 0.52,2.60 ± 1.70,0.975 ± 0.057,1.378 ± 0.228,2.027 ± 0.664,0.247 ± 0.023,0.985 ± 0.031,23.35 ± 7.12,5
Great Fen,WienerNet-SS (+residual),1.76 ± 0.06,2.12 ± 0.31,2.54 ± 1.07,0.984 ± 0.057,1.345 ± 0.224,1.808 ± 0.576,0.248 ± 0.059,0.928 ± 0.127,14.71 ± 3.71,5
Great Fen,WienerNet-SS (predicted-k),1.88 ± 0.18,1.98 ± 0.13,1.79 ± 0.08,1.006 ± 0.073,1.275 ± 0.130,1.601 ± 0.234,0.281 ± 0.050,0.993 ± 0.006,16.87 ± 3.19,5
Great Fen,WienerNet-SS (state-space),1.89 ± 0.18,2.04 ± 0.14,2.05 ± 0.21,0.997 ± 0.059,1.230 ± 0.059,1.520 ± 0.081,0.267 ± 0.083,0.965 ± 0.037,13.54 ± 2.37,5
Great Fen,"WienerNet-SS (state-space, +residual)",1.91 ± 0.18,2.08 ± 0.15,1.97 ± 0.27,0.995 ± 0.069,1.231 ± 0.103,1.445 ± 0.223,0.262 ± 0.065,0.979 ± 0.013,13.11 ± 2.57,5
Great Fen,"WienerNet-SS (state-space, predicted-k)",1.88 ± 0.18,1.97 ± 0.12,1.76 ± 0.06,0.985 ± 0.074,1.169 ± 0.075,1.330 ± 0.077,0.239 ± 0.010,0.992 ± 0.006,13.48 ± 1.53,5
Great Fen,WienerNet-SS (ALD + sigma_struct band),1.70 ± 0.02,1.86 ± 0.05,1.89 ± 0.16,0.971 ± 0.029,1.221 ± 0.078,1.466 ± 0.140,0.274 ± 0.018,0.991 ± 0.007,14.61 ± 2.30,5
Great Fen,"WienerNet-SS (given-diurnal, Wiener)",1.70 ± 0.00,1.79 ± 0.00,1.71 ± 0.00,0.954 ± 0.017,1.153 ± 0.059,1.349 ± 0.136,0.255 ± 0.026,0.982 ± 0.015,13.27 ± 2.42,5
Great Fen,"WienerNet-SS (given-diurnal, state-sp)",1.70 ± 0.00,1.79 ± 0.00,1.71 ± 0.00,0.929 ± 0.006,1.111 ± 0.049,1.264 ± 0.121,0.262 ± 0.028,0.978 ± 0.019,12.15 ± 2.33,5
Great Fen,Neural SDE (Gaussian),1.97 ± 0.19,3.00 ± 0.85,4.74 ± 2.55,1.129 ± 0.107,1.815 ± 0.492,2.847 ± 1.478,0.237 ± 0.073,0.910 ± 0.123,18.97 ± 2.26,5
Great Fen,Neural SDE (Student-t),1.84 ± 0.14,2.45 ± 0.48,3.37 ± 1.31,1.006 ± 0.051,1.422 ± 0.208,2.002 ± 0.604,0.229 ± 0.087,0.942 ± 0.058,14.99 ± 1.35,5
Great Fen,Neural SDE (ALD),1.74 ± 0.05,1.96 ± 0.13,2.20 ± 0.33,0.963 ± 0.022,1.210 ± 0.097,1.510 ± 0.234,0.249 ± 0.044,0.968 ± 0.027,13.10 ± 2.85,5
Great Fen,Mean-variance (Gaussian),1.73 ± 0.05,1.99 ± 0.21,2.30 ± 0.52,0.977 ± 0.039,1.285 ± 0.096,1.575 ± 0.159,0.261 ± 0.053,0.998 ± 0.001,16.30 ± 1.09,5
Great Fen,Mean-variance (Student-t),1.71 ± 0.03,1.94 ± 0.21,2.21 ± 0.57,0.934 ± 0.034,1.141 ± 0.107,1.372 ± 0.214,0.205 ± 0.065,0.978 ± 0.017,12.24 ± 1.86,5
Great Fen,Mean-variance (ALD),1.68 ± 0.01,1.77 ± 0.01,1.71 ± 0.03,0.917 ± 0.003,1.083 ± 0.042,1.248 ± 0.114,0.222 ± 0.040,0.987 ± 0.011,11.89 ± 1.89,5
Great Fen,Analytical SDE (Gaussian),1.69,1.77,1.68,0.970,1.288,1.696,0.262,1.000,20.47,1
Great Fen,Analytical SDE (Student-t),1.69,1.77,1.68,0.928,1.170,1.479,0.240,0.999,17.07,1
