model,site,seed,hour_bin,n,rmse,mae,bias,crps,cov90,sharp90,pit_ks
predicted-k,redmere_1,1,00-03,983,2.769173379927128,1.0012422269200745,0.22478229605563416,0.8065454676361611,0.8311291963377416,3.1745534873308747,0.03918596335727165
predicted-k,redmere_1,42,00-03,983,2.7480880197653517,1.0087131389467916,0.23347215996373025,0.818620932375559,0.854526958290946,3.740124586076115,0.05335757380417594
predicted-k,redmere_2,0,00-03,1683,1.6718480312792918,0.880335654386757,-0.0051936925057127,0.7551719517792947,0.7587641117052881,3.0543988384890643,0.12013848443667896
predicted-k,redmere_2,1,00-03,1683,1.6764017416335695,0.8840480913180943,0.04771696839747763,0.7474268005046968,0.7991681521093286,3.356482451314135,0.10865498314537336
predicted-k,redmere_2,42,00-03,1683,1.6759907999183392,0.8815740939553172,0.034397986307059564,0.7635867563797993,0.8568033273915627,4.181298607840405,0.12192689857221017
predicted-k,great_fen,0,00-03,2024,2.0043571761848202,1.238186655558734,0.05528493668780968,0.9751250396332398,0.791501976284585,4.035699440402833,0.02784898055022894
predicted-k,great_fen,1,00-03,2024,2.002791659169481,1.237176672669621,0.036332463425963295,1.0054437750441092,0.7188735177865613,3.6420044254789157,0.06260028176730725
predicted-k,great_fen,42,00-03,2024,2.0063855350266584,1.2409852954739402,0.043930629216752975,0.967004411647951,0.7015810276679841,3.4857652405919164,0.06544730560012524
predicted-k,woodwalton,0,03-06,3823,3.2273346400275247,2.2534990294537063,2.0847901615167777,2.1572492946897053,0.17211613915772953,0.48362033835386536,0.695440313060864
predicted-k,woodwalton,1,03-06,3823,1.5297703566044405,0.8990403775490183,-0.27469406538237817,0.8328049654154408,0.1417734763274915,0.34075936272790686,0.5622314651030889
predicted-k,woodwalton,42,03-06,3823,1.9243222011672911,1.114906869391664,0.8240625102544584,0.9111786633349386,0.538059115877583,1.4317510470418062,0.3060151816908084
predicted-k,rosedene,0,03-06,5036,1.7318817441417584,0.8626574328090815,-0.05583360777595291,0.6952970849477986,0.6791104050833995,1.631425173155671,0.13805747135476054
predicted-k,rosedene,1,03-06,5036,1.7330028425987396,0.8584832770659679,0.08885516217710765,0.676990651761623,0.7907069102462272,2.30811752208426,0.031529423792260036
predicted-k,rosedene,42,03-06,5036,1.7354678833189525,0.8609733861353991,0.12040949091048966,0.6907237426733494,0.7696584590945195,2.311227575315533,0.049086183439630726
predicted-k,redmere_1,0,03-06,876,3.2946990113113808,1.100122074065007,0.35444180665699315,0.9227066773793877,0.8047945205479452,3.075860383727306,0.04431710294317104
predicted-k,redmere_1,1,03-06,876,3.192140580561558,1.0595940365860044,0.3201077663718157,0.8780470559117006,0.8093607305936074,3.0519830616312125,0.03215561282155613
predicted-k,redmere_1,42,03-06,876,3.1959437130712716,1.068470804003752,0.3341659044243021,0.8907592118536471,0.8378995433789954,3.47775874786952,0.04622722546227226
predicted-k,redmere_2,0,03-06,1472,1.8110668760221147,0.9632183957576711,0.15849033149551478,0.7794049509355806,0.7472826086956522,2.810838240978194,0.07189652389151957
predicted-k,redmere_2,1,03-06,1472,1.8303360375908817,0.9754188926406483,0.2047901444213652,0.7707503836885827,0.8002717391304348,3.2759803361643205,0.07936934997847611
predicted-k,redmere_2,42,03-06,1472,1.8200285444681408,0.9708835639777016,0.20747971612360308,0.7788722148093001,0.845108695652174,3.8639147220480514,0.11741282823934573
predicted-k,great_fen,0,03-06,1812,1.928060943997464,1.129372808498394,0.11284468612463006,0.8957755508775398,0.8399558498896247,4.277911692282971,0.04669092737088279
predicted-k,great_fen,1,03-06,1812,1.9251122168498473,1.129258677149582,0.0642701094480803,0.9245926264605167,0.7991169977924945,4.511426048863681,0.04980547723646536
predicted-k,great_fen,42,03-06,1812,1.92592354186632,1.135121759841379,0.12965617651247294,0.8779749697822822,0.7588300220750552,3.8363119452536862,0.03760955565755253
predicted-k,woodwalton,0,06-09,1421,3.5975326385928037,2.44872477261073,2.316249130169201,2.3825833370463276,0.11681914144968332,0.3228595601008526,0.7514614586018771
predicted-k,woodwalton,1,06-09,1421,1.5667605882033822,0.9426926228491083,0.21405220057429938,0.8735588868011145,0.17382125263898662,0.3557107720532592,0.376032078929216
